"Story","Title","Result","Date","Stability","Duration (s)"
"Detail Product","As user i have be able to see detail product Sony PS5","SUCCESS","2023-05-08T18:51:32.7621541+07:00[Asia/Krasnoyarsk]","0.0","8.64"
"Login","As user i have be able to success login","SUCCESS","2023-05-08T18:51:41.8292902+07:00[Asia/Krasnoyarsk]","0.0","4.05"
"Login","As user i have be able to failed login with account unregistered","SUCCESS","2023-05-08T18:51:46.4600443+07:00[Asia/Krasnoyarsk]","0.0","4.92"
"Login","As user i have be able to failed login with invalid password","SUCCESS","2023-05-08T18:51:51.9000998+07:00[Asia/Krasnoyarsk]","0.0","8.32"
"Login","As user i have be able to failed login with password not filled","SUCCESS","2023-05-08T18:52:01.2580162+07:00[Asia/Krasnoyarsk]","0.0","9.84"
"Login","As user i have be able to failed login with email not filled","SUCCESS","2023-05-08T18:52:11.9099263+07:00[Asia/Krasnoyarsk]","0.0","6.44"
"Login","As user i have be able to failed login with email and password not filled","SUCCESS","2023-05-08T18:52:18.9142948+07:00[Asia/Krasnoyarsk]","0.0","4.56"
"Register","As a user I have successfully registered","SUCCESS","2023-05-08T18:52:23.859996+07:00[Asia/Krasnoyarsk]","0.0","5.3"
"Register","As a user I registered with incorrect data filled numbers","SUCCESS","2023-05-08T18:52:29.504534+07:00[Asia/Krasnoyarsk]","0.0","7.29"
"Register","As a user I registered with incorrect data filled character","SUCCESS","2023-05-08T18:52:37.5237589+07:00[Asia/Krasnoyarsk]","0.0","8.29"
"Register","As a user I register with the data that has been registered","SUCCESS","2023-05-08T18:52:46.9785013+07:00[Asia/Krasnoyarsk]","0.0","7.41"
"Register","As a user I registered with incomplete data","SUCCESS","2023-05-08T18:52:54.9129676+07:00[Asia/Krasnoyarsk]","0.0","6.25"
