"Story","Title","Result","Date","Stability","Duration (s)"
"Category Product","As user i have be able to select category","ERROR","2023-05-08T18:51:02.1649606+07:00[Asia/Krasnoyarsk]","0.0","18.37"
"Category Product","As user i have be able to select category and click clear category","SUCCESS","2023-05-08T18:51:21.9715062+07:00[Asia/Krasnoyarsk]","0.0","10.33"
"Detail Product","As user i have be able to see detail product Sony PS5","SUCCESS","2023-05-08T18:51:32.7621541+07:00[Asia/Krasnoyarsk]","0.0","8.64"
"Login","As user i have be able to success login","SUCCESS","2023-05-08T18:51:41.8292902+07:00[Asia/Krasnoyarsk]","0.0","4.05"
"Login","As user i have be able to failed login with account unregistered","SUCCESS","2023-05-08T18:51:46.4600443+07:00[Asia/Krasnoyarsk]","0.0","4.92"
"Login","As user i have be able to failed login with invalid password","SUCCESS","2023-05-08T18:51:51.9000998+07:00[Asia/Krasnoyarsk]","0.0","8.32"
"Login","As user i have be able to failed login with password not filled","SUCCESS","2023-05-08T18:52:01.2580162+07:00[Asia/Krasnoyarsk]","0.0","9.84"
"Login","As user i have be able to failed login with email not filled","SUCCESS","2023-05-08T18:52:11.9099263+07:00[Asia/Krasnoyarsk]","0.0","6.44"
"Login","As user i have be able to failed login with email and password not filled","SUCCESS","2023-05-08T18:52:18.9142948+07:00[Asia/Krasnoyarsk]","0.0","4.56"
"Register","As a user I have successfully registered","SUCCESS","2023-05-08T18:52:23.859996+07:00[Asia/Krasnoyarsk]","0.0","5.3"
"Register","As a user I registered with incorrect data filled numbers","SUCCESS","2023-05-08T18:52:29.504534+07:00[Asia/Krasnoyarsk]","0.0","7.29"
"Register","As a user I registered with incorrect data filled character","SUCCESS","2023-05-08T18:52:37.5237589+07:00[Asia/Krasnoyarsk]","0.0","8.29"
"Register","As a user I register with the data that has been registered","SUCCESS","2023-05-08T18:52:46.9785013+07:00[Asia/Krasnoyarsk]","0.0","7.41"
"Register","As a user I registered with incomplete data","SUCCESS","2023-05-08T18:52:54.9129676+07:00[Asia/Krasnoyarsk]","0.0","6.25"
"Transaction","As user i make a product transaction","FAILURE","2023-05-08T18:53:01.6491444+07:00[Asia/Krasnoyarsk]","0.0","12.0"
"Transaction","As user i make a product transaction and not complete purchase","FAILURE","2023-05-08T18:53:14.0744628+07:00[Asia/Krasnoyarsk]","0.0","11.06"
"Transaction","As user i make a product transaction and click buy button 7 times","FAILURE","2023-05-08T18:53:25.5206468+07:00[Asia/Krasnoyarsk]","0.0","10.99"
